# Observation File: surface_outlet_flux.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface outlet flux
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# =============================================================================
"time [s]","surface outlet flux"
0.000000000000e+00,0.000000000000e+00
6.000000000000e+01,0.000000000000e+00
1.200000000000e+02,0.000000000000e+00
1.800000000000e+02,0.000000000000e+00
2.400000000000e+02,0.000000000000e+00
3.000000000000e+02,0.000000000000e+00
3.600000000000e+02,0.000000000000e+00
4.200000000000e+02,0.000000000000e+00
4.800000000000e+02,0.000000000000e+00
5.400000000000e+02,0.000000000000e+00
6.000000000000e+02,0.000000000000e+00
6.600000000000e+02,0.000000000000e+00
7.200000000000e+02,0.000000000000e+00
7.800000000000e+02,0.000000000000e+00
8.400000000000e+02,0.000000000000e+00
9.000000000000e+02,0.000000000000e+00
9.600000000000e+02,0.000000000000e+00
1.020000000000e+03,0.000000000000e+00
1.080000000000e+03,0.000000000000e+00
1.140000000000e+03,0.000000000000e+00
1.200000000000e+03,3.596206000281e+01
1.260000000000e+03,1.187518564618e+02
1.320000000000e+03,2.289022072192e+02
1.380000000000e+03,3.558453975488e+02
1.440000000000e+03,4.924595903195e+02
1.500000000000e+03,6.337055295871e+02
1.560000000000e+03,7.760371303780e+02
1.620000000000e+03,9.170404378552e+02
1.680000000000e+03,1.055171264755e+03
1.740000000000e+03,1.189549318544e+03
1.800000000000e+03,1.319792147522e+03
1.860000000000e+03,1.445880816192e+03
1.920000000000e+03,1.568052228813e+03
1.980000000000e+03,1.686714087110e+03
2.040000000000e+03,1.802378911238e+03
2.100000000000e+03,1.915613857123e+03
2.160000000000e+03,2.027003379270e+03
2.220000000000e+03,2.137122144727e+03
2.280000000000e+03,2.246515979880e+03
2.340000000000e+03,2.355689003722e+03
2.400000000000e+03,2.465095446324e+03
2.460000000000e+03,2.575134958133e+03
2.520000000000e+03,2.686150478408e+03
2.580000000000e+03,2.798427949108e+03
2.640000000000e+03,2.912197337486e+03
2.700000000000e+03,3.027634570634e+03
2.760000000000e+03,3.144864094067e+03
2.820000000000e+03,3.263961849042e+03
2.880000000000e+03,3.384958524850e+03
2.940000000000e+03,3.507842986885e+03
3.000000000000e+03,3.632565812398e+03
3.060000000000e+03,3.759042887242e+03
3.120000000000e+03,3.887159029816e+03
3.180000000000e+03,4.016771616520e+03
3.240000000000e+03,4.147714186485e+03
3.300000000000e+03,4.279800004720e+03
3.360000000000e+03,4.412825562452e+03
3.420000000000e+03,4.546573992225e+03
3.480000000000e+03,4.680818374549e+03
3.540000000000e+03,4.815324911915e+03
3.600000000000e+03,4.949855946284e+03
3.660000000000e+03,5.084172797040e+03
3.720000000000e+03,5.218038397872e+03
3.780000000000e+03,5.351219714091e+03
3.840000000000e+03,5.483489925229e+03
3.900000000000e+03,5.614630361336e+03
3.960000000000e+03,5.744432185912e+03
4.020000000000e+03,5.872697823043e+03
4.080000000000e+03,5.999242130079e+03
4.140000000000e+03,6.123893322191e+03
4.200000000000e+03,6.246493658128e+03
4.260000000000e+03,6.366899900340e+03
4.320000000000e+03,6.484983565148e+03
4.380000000000e+03,6.600630980611e+03
4.440000000000e+03,6.713743171846e+03
4.500000000000e+03,6.824235593602e+03
4.560000000000e+03,6.932037731109e+03
4.620000000000e+03,7.037092589325e+03
4.680000000000e+03,7.139356090749e+03
4.740000000000e+03,7.238796400516e+03
4.800000000000e+03,7.335393196649e+03
4.860000000000e+03,7.429136901734e+03
4.920000000000e+03,7.520027890767e+03
4.980000000000e+03,7.608075688081e+03
5.040000000000e+03,7.693298165263e+03
5.100000000000e+03,7.775720749290e+03
5.160000000000e+03,7.855375649473e+03
5.220000000000e+03,7.932301109981e+03
5.280000000000e+03,8.006540692981e+03
5.340000000000e+03,8.078142597118e+03
