# Observation File: surface_outlet_flux.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface outlet flux
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# =============================================================================
"time [s]","surface outlet flux"
0.000000000000e+00,0.000000000000e+00
6.000000000000e+01,0.000000000000e+00
1.200000000000e+02,0.000000000000e+00
1.800000000000e+02,0.000000000000e+00
2.400000000000e+02,0.000000000000e+00
3.000000000000e+02,0.000000000000e+00
3.600000000000e+02,0.000000000000e+00
4.200000000000e+02,0.000000000000e+00
4.800000000000e+02,0.000000000000e+00
5.400000000000e+02,0.000000000000e+00
6.000000000000e+02,0.000000000000e+00
6.600000000000e+02,0.000000000000e+00
7.200000000000e+02,0.000000000000e+00
7.800000000000e+02,0.000000000000e+00
8.400000000000e+02,0.000000000000e+00
9.000000000000e+02,0.000000000000e+00
9.600000000000e+02,0.000000000000e+00
1.020000000000e+03,0.000000000000e+00
1.080000000000e+03,0.000000000000e+00
1.140000000000e+03,0.000000000000e+00
1.200000000000e+03,0.000000000000e+00
1.260000000000e+03,0.000000000000e+00
1.320000000000e+03,0.000000000000e+00
1.380000000000e+03,0.000000000000e+00
1.440000000000e+03,0.000000000000e+00
1.500000000000e+03,0.000000000000e+00
1.560000000000e+03,0.000000000000e+00
1.620000000000e+03,0.000000000000e+00
1.680000000000e+03,0.000000000000e+00
1.740000000000e+03,0.000000000000e+00
1.800000000000e+03,0.000000000000e+00
1.860000000000e+03,0.000000000000e+00
1.920000000000e+03,0.000000000000e+00
1.980000000000e+03,0.000000000000e+00
2.040000000000e+03,0.000000000000e+00
2.100000000000e+03,0.000000000000e+00
2.160000000000e+03,0.000000000000e+00
2.220000000000e+03,0.000000000000e+00
2.280000000000e+03,0.000000000000e+00
2.340000000000e+03,0.000000000000e+00
2.400000000000e+03,0.000000000000e+00
2.460000000000e+03,1.918447393474e-01
2.520000000000e+03,1.244079695798e+00
2.580000000000e+03,3.820270877270e+00
2.640000000000e+03,8.486341825109e+00
2.700000000000e+03,1.569984810230e+01
2.760000000000e+03,2.580523716696e+01
2.820000000000e+03,3.903453513171e+01
2.880000000000e+03,5.551276855305e+01
2.940000000000e+03,7.526721664776e+01
3.000000000000e+03,9.823947797332e+01
3.060000000000e+03,1.242993208967e+02
3.120000000000e+03,1.532593528084e+02
3.180000000000e+03,1.848896671858e+02
3.240000000000e+03,2.189317871149e+02
3.300000000000e+03,2.551113972987e+02
3.360000000000e+03,2.931495264648e+02
3.420000000000e+03,3.327719947549e+02
3.480000000000e+03,3.737170716644e+02
3.540000000000e+03,4.157413877981e+02
3.600000000000e+03,4.586242202253e+02
3.660000000000e+03,5.021703167090e+02
3.720000000000e+03,5.462114506658e+02
3.780000000000e+03,5.906069073560e+02
3.840000000000e+03,6.352430979169e+02
3.900000000000e+03,6.800324854561e+02
3.960000000000e+03,7.249119898609e+02
4.020000000000e+03,7.698410179446e+02
4.080000000000e+03,8.147992448739e+02
4.140000000000e+03,8.597842527656e+02
4.200000000000e+03,9.048091136450e+02
4.260000000000e+03,9.498999869840e+02
4.320000000000e+03,9.950937869085e+02
4.380000000000e+03,1.040435960892e+03
4.440000000000e+03,1.085978410261e+03
4.500000000000e+03,1.131777572993e+03
4.560000000000e+03,1.177892681013e+03
4.620000000000e+03,1.224384197373e+03
4.680000000000e+03,1.271312433269e+03
4.740000000000e+03,1.318736340200e+03
4.800000000000e+03,1.366712470152e+03
4.860000000000e+03,1.415294093558e+03
4.920000000000e+03,1.464530463996e+03
4.980000000000e+03,1.514466217916e+03
5.040000000000e+03,1.565140895288e+03
5.100000000000e+03,1.616588573482e+03
5.160000000000e+03,1.668837598414e+03
5.220000000000e+03,1.721910404826e+03
5.280000000000e+03,1.775823415366e+03
5.340000000000e+03,1.830587009628e+03
