# Observation File: surface_outlet_flux.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface outlet flux
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# =============================================================================
"time [s]","surface outlet flux"
0.000000000000e+00,0.000000000000e+00
6.000000000000e+01,5.557604035210e+01
1.200000000000e+02,1.507097119168e+02
1.800000000000e+02,2.638814423831e+02
2.400000000000e+02,3.856535426734e+02
3.000000000000e+02,5.102600665168e+02
3.600000000000e+02,6.340219446760e+02
4.200000000000e+02,7.546502333743e+02
4.800000000000e+02,8.708304288520e+02
5.400000000000e+02,9.819369308900e+02
6.000000000000e+02,1.087824967246e+03
6.600000000000e+02,1.188675999787e+03
7.200000000000e+02,1.284882843437e+03
7.800000000000e+02,1.376965118851e+03
8.400000000000e+02,1.465508002677e+03
9.000000000000e+02,1.551118774366e+03
9.600000000000e+02,1.634396812523e+03
1.020000000000e+03,1.715913619394e+03
1.080000000000e+03,1.796200208061e+03
1.140000000000e+03,1.875739802383e+03
1.200000000000e+03,1.954964294760e+03
1.260000000000e+03,2.034253299171e+03
1.320000000000e+03,2.113934943325e+03
1.380000000000e+03,2.194287779680e+03
1.440000000000e+03,2.275543374095e+03
1.500000000000e+03,2.357889265058e+03
1.560000000000e+03,2.441472085468e+03
1.620000000000e+03,2.526400711110e+03
1.680000000000e+03,2.612749351538e+03
1.740000000000e+03,2.700560535276e+03
1.800000000000e+03,2.789847965894e+03
1.860000000000e+03,2.880599241693e+03
1.920000000000e+03,2.972778441677e+03
1.980000000000e+03,3.066328586032e+03
2.040000000000e+03,3.161173981621e+03
2.100000000000e+03,3.257222463282e+03
2.160000000000e+03,3.354367540404e+03
2.220000000000e+03,3.452490456263e+03
2.280000000000e+03,3.551462165096e+03
2.340000000000e+03,3.651145229329e+03
2.400000000000e+03,3.751395636966e+03
2.460000000000e+03,3.852064537018e+03
2.520000000000e+03,3.952999889178e+03
2.580000000000e+03,4.054048022756e+03
2.640000000000e+03,4.155055099191e+03
2.700000000000e+03,4.255868472254e+03
2.760000000000e+03,4.356337940343e+03
2.820000000000e+03,4.456316885952e+03
2.880000000000e+03,4.555663298351e+03
2.940000000000e+03,4.654240676816e+03
3.000000000000e+03,4.751918813152e+03
3.060000000000e+03,4.848574453748e+03
3.120000000000e+03,4.944091842949e+03
